"Nekateri kazalniki transporta po statistiènih regijah, Slovenija, letno"

"KAZALNIK";"STATISTIÈNA REGIJA";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Število umrlih v cestnoprometnih nesreèah na 10.000 registriranih motornih vozil";"Pomurska";3.2;2.2;3.0;3.6;2.0;0.7;1.2;0.4;1.1;1.1;0.6;0.4;0.8;0.7;0.4;0.1;0.6
"Število umrlih v cestnoprometnih nesreèah na 10.000 registriranih motornih vozil";"Podravska";2.3;2.1;2.4;2.7;2.1;1.1;0.9;1.6;0.7;0.8;1.0;0.9;1.1;0.9;0.8;0.5;0.6
"Število umrlih v cestnoprometnih nesreèah na 10.000 registriranih motornih vozil";"Koroška";1.9;2.3;1.5;2.2;1.8;1.1;0.9;1.5;1.3;0.7;0.6;0.9;1.0;1.2;0.4;1.2;0.8
"Število umrlih v cestnoprometnih nesreèah na 10.000 registriranih motornih vozil";"Savinjska";2.8;2.2;1.8;2.6;2.0;1.5;0.8;0.6;0.9;1.2;0.7;1.0;0.9;0.7;0.5;1.1;0.3
"Število umrlih v cestnoprometnih nesreèah na 10.000 registriranih motornih vozil";"Zasavska";2.4;1.9;0.5;2.6;1.2;1.6;0.8;0.0;2.5;0.4;0.4;0.9;1.1;0.8;0.8;0.8;0.8
"Število umrlih v cestnoprometnih nesreèah na 10.000 registriranih motornih vozil";"Posavska";2.3;1.7;1.6;1.3;1.5;1.0;1.2;0.6;0.6;2.4;0.4;0.2;1.2;0.8;0.7;0.3;0.0
"Število umrlih v cestnoprometnih nesreèah na 10.000 registriranih motornih vozil";"Jugovzhodna Slovenija";4.3;5.1;2.6;2.4;1.9;2.0;1.4;1.0;0.9;0.6;0.5;0.9;0.9;0.4;1.1;0.6;0.9
"Število umrlih v cestnoprometnih nesreèah na 10.000 registriranih motornih vozil";"Osrednjeslovenska";1.9;2.0;2.0;2.1;1.2;1.0;1.0;1.0;0.7;0.6;0.7;0.8;0.7;0.5;0.3;0.4;0.4
"Število umrlih v cestnoprometnih nesreèah na 10.000 registriranih motornih vozil";"Gorenjska";2.3;1.8;1.6;2.3;1.4;1.8;1.4;1.2;1.2;1.2;0.8;0.8;0.6;0.6;0.4;0.6;0.7
"Število umrlih v cestnoprometnih nesreèah na 10.000 registriranih motornih vozil";"Primorsko-notranjska";3.2;4.0;2.7;4.3;1.1;1.6;0.8;1.8;1.6;2.1;1.5;1.5;0.7;1.9;0.9;1.3;0.2
"Število umrlih v cestnoprometnih nesreèah na 10.000 registriranih motornih vozil";"Goriška";2.0;0.9;2.3;0.8;1.7;1.3;0.7;1.3;1.4;0.7;1.0;1.6;1.3;0.9;0.9;1.3;0.3
"Število umrlih v cestnoprometnih nesreèah na 10.000 registriranih motornih vozil";"Obalno-kraška";2.1;1.6;3.2;2.0;1.2;1.1;1.4;1.1;1.0;1.0;1.2;0.7;1.3;0.3;0.8;0.7;0.8
